"category","currency","delivery_date","dispatch_date","modified_at","order_date","order_ref","product","qty","status","supplier","expected_delivery"
"consumables","USD","","","13/12/2024","13/12/2024","1","Mass-Produced Filter","20","Raised","BulkChem Inc","17/01/2025"
"consumables","USD","","19/12/2024","19/12/2024","13/12/2024","1","Mass-Produced Filter","20","Dispatched","BulkChem Inc","17/01/2025"
"consumables","USD","14/01/2025","19/12/2024","14/01/2025","13/12/2024","1","Mass-Produced Filter","20","Delivered","BulkChem Inc","17/01/2025"
"consumables","USD","","","12/09/2024","12/09/2024","2","Regulation Filter","28","Raised","BulkChem Inc","17/10/2024"
"consumables","USD","","24/09/2024","24/09/2024","12/09/2024","2","Regulation Filter","28","Dispatched","BulkChem Inc","17/10/2024"
"consumables","GBP","","","29/09/2024","29/09/2024","3","High-Grade Filter","77","Raised","ChemSupply Ltd","07/10/2024"
"consumables","GBP","","01/10/2024","01/10/2024","29/09/2024","3","High-Grade Filter","77","Dispatched","ChemSupply Ltd","07/10/2024"
"consumables","GBP","03/10/2024","01/10/2024","03/10/2024","29/09/2024","3","High-Grade Filter","77","Delivered","ChemSupply Ltd","07/10/2024"
"consumables","GBP","03/10/2024","01/10/2024","03/10/2024","29/09/2024","3","High-Grade Filter","77","Delivered","ChemSupply Ltd","07/10/2024"
"equipment","USD","","","03/07/2024","03/07/2024","4","Unstable Sensor","2","Raised","[REDACTED]","27/07/2024"
"equipment","USD","","12/07/2024","12/07/2024","03/07/2024","4","Unstable Sensor","2","Dispatched","[REDACTED]","27/07/2024"
"equipment","USD","16/07/2024","12/07/2024","16/07/2024","03/07/2024","4","Unstable Sensor","2","Delivered","[REDACTED]","27/07/2024"
"equipment","USD","","","27/12/2024","27/12/2024","5","Unlabelled Calibrator","6","Raised","[REDACTED]","20/01/2025"
"equipment","USD","","","03/01/2025","27/12/2024","5","Unlabelled Calibrator","56","Raised","[REDACTED]","20/01/2025"
"equipment","USD","","04/01/2025","04/01/2025","27/12/2024","5","Unlabelled Calibrator","56","Dispatched","[REDACTED]","20/01/2025"
"equipment","USD","17/01/2025","04/01/2025","17/01/2025","27/12/2024","5","Unlabelled Calibrator","56","Delivered","[REDACTED]","20/01/2025"
"consumables","USD","","","07/07/2024","07/07/2024","6","Bargain Reagent","26","Raised","BulkChem Inc","11/08/2024"
"consumables","USD","","26/07/2024","26/07/2024","07/07/2024","6","Bargain Reagent","26","Dispatched","BulkChem Inc","11/08/2024"
"reference","GBP","","","13/01/2024","13/01/2024","7","TEST ITEM - DO NOT USE","41","Raised","SYSTEM_TEST","15/01/2024"
"reference","GBP","","14/01/2024","14/01/2024","13/01/2024","7","TEST ITEM - DO NOT USE","41","Dispatched","SYSTEM_TEST","15/01/2024"
"equipment","JPY","","","30/07/2024","30/07/2024","8","Precision Probe","15","Raised","LabTech Solutions","27/08/2024"
"equipment","JPY","","03/08/2024","03/08/2024","30/07/2024","8","Precision Probe","15","Dispatched","LabTech Solutions","27/08/2024"
"equipment","JPY","","","10/01/2024","10/01/2024","9","Performance Sensor","42","Raised","LabTech Solutions","07/02/2024"
"equipment","JPY","","16/01/2024","16/01/2024","10/01/2024","9","Performance Sensor","42","Dispatched","LabTech Solutions","07/02/2024"
"consumables","GBP","","","31/10/2024","31/10/2024","10","Ordinary Solvent","2","Raised","ChemSupply Ltd","08/11/2024"
"consumables","USD","","","10/07/2024","10/07/2024","11","Mass-Produced Solvent","14","Raised","BulkChem Inc","14/08/2024"
"consumables","USD","","23/07/2024","23/07/2024","10/07/2024","11","Mass-Produced Solvent","14","Dispatched","BulkChem Inc","14/08/2024"
"consumables","USD","04/08/2024","23/07/2024","04/08/2024","10/07/2024","11","Mass-Produced Solvent","14","Delivered","BulkChem Inc","14/08/2024"
"reference","GBP","","","29/09/2024","29/09/2024","12","TEST ITEM - DO NOT USE","7","Raised","SYSTEM_TEST","01/10/2024"
"reference","GBP","","30/09/2024","30/09/2024","29/09/2024","12","TEST ITEM - DO NOT USE","7","Dispatched","SYSTEM_TEST","01/10/2024"
"reference","GBP","","","06/08/2024","06/08/2024","13","TEST ITEM - DO NOT USE","17","Raised","SYSTEM_TEST","08/08/2024"
"reference","GBP","","07/08/2024","07/08/2024","06/08/2024","13","TEST ITEM - DO NOT USE","17","Dispatched","SYSTEM_TEST","08/08/2024"
"reference","GBP","08/08/2024","07/08/2024","08/08/2024","06/08/2024","13","TEST ITEM - DO NOT USE","17","Delivered","SYSTEM_TEST","08/08/2024"
"consumables","GBP","","","18/03/2024","18/03/2024","14","Regular Solvent","90","Raised","ChemSupply Ltd","26/03/2024"
"consumables","GBP","","21/03/2024","21/03/2024","18/03/2024","14","Regular Solvent","90","Dispatched","ChemSupply Ltd","26/03/2024"
"consumables","USD","","","15/10/2024","15/10/2024","15","Suspiciously Cheap Filter","91","Raised","[REDACTED]","08/11/2024"
"consumables","GBP","","","21/07/2024","21/07/2024","16","General-Purpose Solvent","3","Raised","ChemSupply Ltd","29/07/2024"
"consumables","GBP","","24/07/2024","24/07/2024","21/07/2024","16","General-Purpose Solvent","3","Dispatched","ChemSupply Ltd","29/07/2024"
"consumables","GBP","31/07/2024","24/07/2024","31/07/2024","21/07/2024","16","General-Purpose Solvent","3","Delivered","ChemSupply Ltd","29/07/2024"
"consumables","GBP","","","23/07/2024","23/07/2024","17","Standard Reagent","14","Raised","ChemSupply Ltd","31/07/2024"
"consumables","GBP","","","25/07/2024","23/07/2024","17","Standard Reagent","4","Raised","ChemSupply Ltd","31/07/2024"
"consumables","USD","","","25/12/2024","25/12/2024","18","Bargain Solvent","1","Raised","BulkChem Inc","29/01/2025"
"consumables","USD","","","05/01/2025","25/12/2024","18","Bargain Solvent","10","Raised","BulkChem Inc","29/01/2025"
"equipment","JPY","","","08/11/2024","08/11/2024","19","Performance Calibrator","99","Raised","LabTech Solutions","06/12/2024"
"equipment","JPY","","14/11/2024","14/11/2024","08/11/2024","19","Performance Calibrator","99","Dispatched","LabTech Solutions","06/12/2024"
"consumables","GBP","","","12/08/2024","12/08/2024","20","General-Purpose Solvent","100","Raised","ChemSupply Ltd","20/08/2024"
"consumables","GBP","","14/08/2024","14/08/2024","12/08/2024","20","General-Purpose Solvent","100","Dispatched","ChemSupply Ltd","20/08/2024"
"consumables","GBP","19/08/2024","14/08/2024","19/08/2024","12/08/2024","20","General-Purpose Solvent","100","Delivered","ChemSupply Ltd","20/08/2024"
"consumables","USD","","","02/10/2024","02/10/2024","21","Untraceable Extra Reagent","99","Raised","[REDACTED]","26/10/2024"
"reference","GBP","","","18/04/2024","18/04/2024","22","TEST ITEM - DO NOT USE","16","Raised","SYSTEM_TEST","20/04/2024"
"reference","GBP","","19/04/2024","19/04/2024","18/04/2024","22","TEST ITEM - DO NOT USE","16","Dispatched","SYSTEM_TEST","20/04/2024"
"reference","GBP","20/04/2024","19/04/2024","20/04/2024","18/04/2024","22","TEST ITEM - DO NOT USE","16","Delivered","SYSTEM_TEST","20/04/2024"
"consumables","GBP","","","09/03/2024","09/03/2024","23","Ordinary Reagent","18","Raised","ChemSupply Ltd","17/03/2024"
"consumables","GBP","","","11/03/2024","09/03/2024","23","Ordinary Reagent","99","Raised","ChemSupply Ltd","17/03/2024"
"consumables","GBP","","12/03/2024","12/03/2024","09/03/2024","23","Ordinary Reagent","99","Dispatched","ChemSupply Ltd","17/03/2024"
"consumables","GBP","16/03/2024","12/03/2024","16/03/2024","09/03/2024","23","Ordinary Reagent","99","Delivered","ChemSupply Ltd","17/03/2024"
"equipment","JPY","","","04/12/2024","04/12/2024","24","Precision Sensor","19","Raised","LabTech Solutions","01/01/2025"
"equipment","JPY","","12/12/2024","12/12/2024","04/12/2024","24","Precision Sensor","19","Dispatched","LabTech Solutions","01/01/2025"
"reference","GBP","","","01/05/2024","01/05/2024","25","TEST ITEM - DO NOT USE","82","Raised","SYSTEM_TEST","03/05/2024"
"reference","GBP","","02/05/2024","02/05/2024","01/05/2024","25","TEST ITEM - DO NOT USE","82","Dispatched","SYSTEM_TEST","03/05/2024"
"consumables","USD","","","20/11/2024","20/11/2024","26","Unstable Filter","77","Raised","[REDACTED]","14/12/2024"
"consumables","USD","","27/11/2024","27/11/2024","20/11/2024","26","Unstable Filter","77","Dispatched","[REDACTED]","14/12/2024"
"consumables","USD","13/12/2024","27/11/2024","13/12/2024","20/11/2024","26","Unstable Filter","77","Delivered","[REDACTED]","14/12/2024"
"consumables","GBP","","","19/07/2024","19/07/2024","27","General-Purpose Reagent","42","Raised","ChemSupply Ltd","27/07/2024"
"consumables","GBP","","21/07/2024","21/07/2024","19/07/2024","27","General-Purpose Reagent","42","Dispatched","ChemSupply Ltd","27/07/2024"
"equipment","JPY","","","11/02/2024","11/02/2024","28","Hyper Probe","63","Raised","LabTech Solutions","10/03/2024"
"equipment","JPY","","16/02/2024","16/02/2024","11/02/2024","28","Hyper Probe","63","Dispatched","LabTech Solutions","10/03/2024"
"equipment","JPY","02/03/2024","16/02/2024","02/03/2024","11/02/2024","28","Hyper Probe","63","Delivered","LabTech Solutions","10/03/2024"
"consumables","USD","","","08/12/2024","08/12/2024","29","Unstable Reagent","45","Raised","[REDACTED]","01/01/2025"
"consumables","USD","","16/12/2024","16/12/2024","08/12/2024","29","Unstable Reagent","45","Dispatched","[REDACTED]","01/01/2025"
"consumables","USD","","","29/09/2024","29/09/2024","30","Suspiciously Cheap Reagent","32","Raised","[REDACTED]","23/10/2024"
"consumables","USD","","07/10/2024","07/10/2024","29/09/2024","30","Suspiciously Cheap Reagent","32","Dispatched","[REDACTED]","23/10/2024"
"equipment","USD","","","01/06/2024","01/06/2024","31","Suspiciously Cheap Sensor","42","Raised","[REDACTED]","25/06/2024"
"reference","GBP","","","25/09/2024","25/09/2024","32","TEST ITEM - DO NOT USE","5","Raised","SYSTEM_TEST","27/09/2024"
"reference","GBP","","26/09/2024","26/09/2024","25/09/2024","32","TEST ITEM - DO NOT USE","5","Dispatched","SYSTEM_TEST","27/09/2024"
"reference","GBP","27/09/2024","26/09/2024","27/09/2024","25/09/2024","32","TEST ITEM - DO NOT USE","5","Delivered","SYSTEM_TEST","27/09/2024"
"equipment","USD","","","18/02/2024","18/02/2024","33","Suspiciously Cheap Probe","7","Raised","[REDACTED]","13/03/2024"
"equipment","USD","","01/03/2024","01/03/2024","18/02/2024","33","Suspiciously Cheap Probe","7","Dispatched","[REDACTED]","13/03/2024"
"reference","GBP","","","11/09/2024","11/09/2024","34","TEST ITEM - DO NOT USE","19","Raised","SYSTEM_TEST","13/09/2024"
"consumables","GBP","","","14/11/2024","14/11/2024","35","High-Grade Filter","99","Raised","ChemSupply Ltd","22/11/2024"
